"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00007360","Nancy Pelosi (D)","W05","Clergy & Religious Organizations","0","4064","4064","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","A07","Agricultural Services/Products","0","3895","3895","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","C05","Building Materials & Equipment","0","2750","2750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q03","Leadership PACs","2654","0","2654","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N01","Food & Beverage","2000","323","2323","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","C02","Home Builders","0","1875","1875","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","A09","Food Processing & Sales","1000","255","1255","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","H05","Misc Health","0","750","750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","E09","Environmental Svcs/Equipment","0","550","550","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","D02","Defense Electronics","0","500","500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","E01","Oil & Gas","0","428","428","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","F06","Finance/Credit Companies","0","260","260","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","C03","Special Trade Contractors","0","185","185","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N16","Textiles","0","110","110","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","B00","Misc Communications/Electronics","0","47","47","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N13","Chemical & Related Manufacturing","0","41","41","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","M06","Misc Transport","0","40","40","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
